path,annotation
IMDA_TIL/audio/000010001.WAV,THERE WERE BARRELS OF WINE IN THE HUGE CELLAR
IMDA_TIL/audio/000010002.WAV,SHE WON A CAR BECAUSE SHE WAS THE TWELFTH PERSON TO CALL THE RADIO STATION
IMDA_TIL/audio/000010003.WAV,AS THEY WALKED BACK THEY WERE SHOCKED TO SEE A PACK OF STRAY DOGS CIRCLING AROUND THE CAR
IMDA_TIL/audio/000010005.WAV,HEAVY RAINS CAUSED A FLOOD IN THE VILLAGE
IMDA_TIL/audio/000010006.WAV,HE GULPED DOWN HIS BEER
IMDA_TIL/audio/000010007.WAV,SOME PEOPLE GO TO COURT TO FIGHT FOR THEIR PRINCIPLES
IMDA_TIL/audio/000010008.WAV,I GET FREE SNACKS WHENEVER I GO TO THE SUPERMARKET
IMDA_TIL/audio/000010009.WAV,MELISSA PASSED HER NUMBER TO THE YOUNG MAN
IMDA_TIL/audio/000010010.WAV,THE CHILD DIVULGED ALL HIS SECRETS TO HIS BEST FRIEND
IMDA_TIL/audio/000010011.WAV,THIS KIND OF PACKAGING CAN POSE A DANGER TO ANIMALS
IMDA_TIL/audio/000010012.WAV,THEY TRIED TO KEEP IT A SECRET BUT HE WAS ABLE TO FIGURE EVERYTHING OUT
IMDA_TIL/audio/000010013.WAV,THE DWARF CRAFTED A SHARP SWORD AND TOUGH SHIELD FOR THE KNIGHT
IMDA_TIL/audio/000010014.WAV,MY FATHER FIRED THE STAR WORKER
IMDA_TIL/audio/000010015.WAV,SONG SHEETS FOR XYLOPHONES ARE ON THE SHELF TO YOUR RIGHT
IMDA_TIL/audio/000010016.WAV,THE WATERMELON HAS RIPENED
IMDA_TIL/audio/000010018.WAV,THESE SOCIAL REFORMS EFFECT THE ECONOMIC SPHERE AS WELL
IMDA_TIL/audio/000010019.WAV,SOME CUDDLING COULD CHEER HER UP
IMDA_TIL/audio/000010020.WAV,WOMEN HOPE FOR SKIN THAT IS SOFT TO THE TOUCH
IMDA_TIL/audio/000010022.WAV,HE IS A LIGHTWEIGHT IN ALCOHOL
IMDA_TIL/audio/000010023.WAV,THE LITTLE GIRL PLAYED WITH HER RABBIT AND GEESE IN THE YARD
IMDA_TIL/audio/000010024.WAV,WE ALL KNEW THAT IT WAS THE CALM BEFORE THE STORM
IMDA_TIL/audio/000010025.WAV,IT IS NOT SAFE TO FREEZE SOMETHING AGAIN AFTER IT WAS THAWED
IMDA_TIL/audio/000010026.WAV,A PINCH OF SALT IS ENOUGH TO MAKE A VEAL STEW TASTY
IMDA_TIL/audio/000010027.WAV,HOLD YOUR BAT STEADY AND FOCUS YOUR EYES ON THE BALL
IMDA_TIL/audio/000010028.WAV,AFTER DRIVING FOR TEN YEARS HER CAR IS STILL IN TIP TOP CONDITION
IMDA_TIL/audio/000010029.WAV,THIS IS YOUR LAST CHANCE TO JOIN THE LUCKY DRAW
IMDA_TIL/audio/000010030.WAV,THE COUPLE WENT ON AN ENRICHING ADVENTURE TOGETHER
IMDA_TIL/audio/000010031.WAV,HE BECAME VERY FIT EVER SINCE HIS BREAK UP LAST YEAR
IMDA_TIL/audio/000010034.WAV,I WAS SO TIRED FROM WORK I COULD NOT EVEN BOTHER TO BRUSH MY TEETH
IMDA_TIL/audio/000010035.WAV,I HAD A CASUAL CHAT WITH A REPORTER AT THE BAR LAST NIGHT
IMDA_TIL/audio/000010036.WAV,JUST BECAUSE I TOLERATED HE THOUGHT I WAS A FOOL
IMDA_TIL/audio/000010037.WAV,THE BENCH BY THE BANK OF THE RIVER IS A HOT VIEWING SPOT FOR TOURISTS
IMDA_TIL/audio/000010039.WAV,I WAS THE THIRD ONE TO PERFORM
IMDA_TIL/audio/000010040.WAV,THERE WAS A SWITCH IN THE VENUE FOR THE FOOTBALL MATCH
IMDA_TIL/audio/000010042.WAV,THE LANDS DEED WAS SOLD TO THE OLD LADY
IMDA_TIL/audio/000010043.WAV,MY WINTER JACKET CAME WITH A DETACHABLE HOOD
IMDA_TIL/audio/000010044.WAV,LETS DISSECT THIS PROBLEM PART BY PART
IMDA_TIL/audio/000010045.WAV,HE DID NOT HAVE MUCH BUT HE HAD A KIND AND LOVING HEART
IMDA_TIL/audio/000010046.WAV,THERE IS A CLOG IN THE TOILET PIPE AND THE AIR VENTS AT THE ZOO
IMDA_TIL/audio/000010047.WAV,THERES SOMETHING ABOUT HOTEL BEDS THAT MAKES THEM EXTRA COSY
IMDA_TIL/audio/000010048.WAV,THE EARTHS CORE IS MADE OF IRON AND NICKEL
IMDA_TIL/audio/000010049.WAV,SHE SCOOPED HERSELF A BIG BOWL OF CORN SOUP
IMDA_TIL/audio/000010050.WAV,OUR SPORTS TEAMS HAVE ACHIEVED REMARKABLE FEATS THIS YEAR
IMDA_TIL/audio/000010051.WAV,SUDDENLY A GUN SHOT WAS FIRED FROM A DISTANCE WHICH SENT THE DOGS FLEEING IN AN INSTANT
